"Index","SYMBOL"
"1264","FLVCR1"
"1265","VASH2"
"1266","ANGEL2"
"1267","RPS6KC1"
"1268","SMYD2"
"1269","PTPN14"
"1270","CENPF"
"1271","GPATCH2"
"1272","RRP15"
"1273","TGFB2"
"1274","LYPLAL1"
"1275","EPRS"
"1276","BPNT1"
"1277","IARS2"
"1278","RAB3GAP2"
"1279","C1orf115"
"1280","MARC2"
"1281","HLX"
"1282","DUSP10"
"1283","TAF1A"
"1284","RP11-378J18.3"
"1285","MIA3"
"1286","AIDA"
"1287","BROX"
"1288","FAM177B"
"1289","RP11-452F19.3"
"1290","DISP1"
"1291","TLR5"
"1292","SUSD4"
"1293","CAPN2"
"1294","TP53BP2"
"1295","FBXO28"
"1296","DEGS1"
"1297","NVL"
"1298","CNIH4"
"1299","WDR26"
"1300","CNIH3"
"1301","DNAH14"
"1302","LBR"
"1303","SRP9"
"1304","EPHX1"
"1305","RP11-285F7.2"
"1306","TMEM63A"
"1307","PYCR2"
"1308","SDE2"
"1309","H3F3A"
"1310","ACBD3"
"1311","LIN9"
"1312","PARP1"
"1313","ITPKB"
"1314","ITPKB-AS1"
"1315","PSEN2"
"1316","ADCK3"
"1317","CDC42BPA"
"1318","ZNF678"
